screen_id,group,module,route,title,presentation,params,result,required_states,primary_components,notes,requirement_ids,source,status,implementation_evidence,verification_evidence,target_phase
G-001,全局运行态,:app,session-gate,会话入口,system,,,uninitialized | locked | opening | maintenance | recoveryRequired | ready,LedgerSessionGate,唯一根入口；不显示业务数据。,REQ-001 | REQ-002 | REQ-071 | REQ-087,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 AppRootState and unique SessionGate over production BookSessionManager,P11-E003; P11-E004; P11-E005; P11-E006,P11
G-002,全局运行态,:core:security,app-lock,应用已锁定,fullScreen,,,biometricAvailable | credentialOnly | authenticating | authFailed | lockedOut,LockScreen | AuthenticationAction,禁止截屏时继承 FLAG_SECURE；认证成功只解锁应用 UI，不解锁保险库。,REQ-078 | REQ-087,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 LockScreen plus Activity BiometricPrompt and inherited P09 privacy controller,P11-E003; P11-E004; P11-E005; P11-E006,P11
G-003,全局运行态,:app,opening-book,正在打开账本,fullScreen,,,opening | migrationDetected | failed,CenteredProgressState,超过150ms才展示；不得显示数据库路径或原始异常。,REQ-087,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 OpeningBookScreen with token skeleton delay and sanitized failure,P11-E004; P11-E005; P11-E006,P11
G-004,全局运行态,:app,maintenance,正在维护账本,fullScreen,operationId:StableId,,preparing | running | nonCancelable | cancelable | failed | succeeded,OperationProgressPanel,禁止新的财务写入；可取消仅由 operation capability 决定。,REQ-087,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 MaintenanceScreen and session-aware FinancialMutationCoordinator write gate,P11-E002; P11-E004; P11-E005; P11-E006,P11
G-005,全局运行态,:app,recovery-required,需要恢复账本,fullScreen,,,corrupt | keyUnavailable | projectionFailure | restoreAvailable | noBackup,RecoveryActions | DiagnosticCode,只显示脱敏错误码；提供重试、从备份恢复、清除本机数据。,REQ-087,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 sanitized RecoveryRequiredScreen retry/restore/local-clear high-risk paths,P11-E004; P11-E005; P11-E006,P11
G-006,全局导航,:app,more,更多功能,root,,,content | badgeUpdates | operationInProgress,FeatureHubSection | FeatureHubItem,所有顶层页面右上角使用同一入口。,REQ-070,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 shared More route and governed feature hub states,P11-E002; P11-E004; P11-E005,P11/P33
G-007,后台操作,:core:background,operations,操作中心,fullScreen,,,active | paused | failed | completed | empty,OperationListItem | OperationStatusBadge,导入、导出、备份、恢复等长任务统一入口。,,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 governed operation center shell and exact status presentations,P11-E004; P11-E005,P11/P33
G-008,全局帮助,:feature:settings,help/{topicKey},帮助,fullScreen,topicKey:String,,content | notFound,HelpArticle,仅接收白名单 topicKey，不接收自由 URL。,,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 offline allowlisted help topic route and not-found state,P11-E001; P11-E004; P11-E005,P11/P33
ONB-001,首次启动,:feature:onboarding,onboarding/language,选择界面语言,fullScreen,,,content | validationError | submitting,OnboardingScaffold | LanguageOption,显示步骤进度；可选步骤提供“稍后设置”；不得创建示例数据。,REQ-002 | REQ-081 | REQ-082,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 typed step and immediate three-language Compose root locale,P11-E002; P11-E003; P11-E004; P11-E005,P11
ONB-002,首次启动,:feature:onboarding,onboarding/base-currency,选择本位币,fullScreen,,,content | validationError | submitting,OnboardingScaffold | CurrencySearch | CurrencyOption,显示步骤进度；可选步骤提供“稍后设置”；不得创建示例数据。,REQ-002 | REQ-081,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 typed currency search/selection and Proto persistence,P11-E002; P11-E003; P11-E004; P11-E005,P11
ONB-003,首次启动,:feature:onboarding,onboarding/time-zone,确认默认时区,fullScreen,,,content | validationError | submitting,OnboardingScaffold | TimeZoneSearch | CurrentTimePreview,显示步骤进度；可选步骤提供“稍后设置”；不得创建示例数据。,REQ-002 | REQ-081,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 typed zone selection and encrypted empty-book initialization,P11-E002; P11-E003; P11-E004; P11-E005,P11
ONB-004,首次启动,:feature:onboarding,onboarding/privacy-policy,隐私政策,fullScreen,,,content | validationError | submitting,OnboardingScaffold | PolicyDocument | RequiredConsent,显示步骤进度；可选步骤提供“稍后设置”；不得创建示例数据。,REQ-002 | REQ-081,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 required privacy consent validation and typed persistence,P11-E002; P11-E003; P11-E004; P11-E005,P11
ONB-005,首次启动,:feature:onboarding,onboarding/telemetry,诊断与功能统计,fullScreen,,,content | validationError | submitting,OnboardingScaffold | ConsentToggle | PrivacySummary,显示步骤进度；可选步骤提供“稍后设置”；不得创建示例数据。,REQ-002 | REQ-080 | REQ-081,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 explicit independent telemetry/crash choices default disabled,P11-E002; P11-E003; P11-E004; P11-E005,P11
ONB-006,首次启动,:feature:onboarding,onboarding/app-lock,应用锁,fullScreen,,,content | validationError | submitting,OnboardingScaffold | SecurityCapabilityCard | TimeoutSelector,显示步骤进度；可选步骤提供“稍后设置”；不得创建示例数据。,REQ-002 | REQ-081,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 optional app-lock capability and closed timeout selector,P11-E002; P11-E003; P11-E004; P11-E005,P11
ONB-007,首次启动,:feature:onboarding,onboarding/backup,恢复密码与备份,fullScreen,,,content | validationError | submitting,OnboardingScaffold | RecoveryPasswordSetupCard | BackupDestinationCard,显示步骤进度；可选步骤提供“稍后设置”；不得创建示例数据。,REQ-002 | REQ-081,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 optional Argon2id wrapped verifier setup and bounded plaintext clearing,P11-E001; P11-E002; P11-E004; P11-E005; P11-E006,P11
ONB-008,首次启动,:feature:onboarding,onboarding/account,创建第一个账户,fullScreen,,,content | validationError | submitting,OnboardingScaffold | EmbeddedAccountSetup | SkipAction,显示步骤进度；可选步骤提供“稍后设置”；不得创建示例数据。,REQ-002 | REQ-081,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 optional typed first-account metadata or truthful skip to empty state,P11-E002; P11-E003; P11-E004; P11-E005,P11
ONB-009,首次启动,:feature:onboarding,onboarding/category,创建第一个分类,fullScreen,,,content | validationError | submitting,OnboardingScaffold | EmbeddedCategorySetup | SkipAction,显示步骤进度；可选步骤提供“稍后设置”；不得创建示例数据。,REQ-002 | REQ-081,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 optional typed first-category metadata or truthful skip to empty state,P11-E002; P11-E003; P11-E004; P11-E005,P11
ONB-010,首次启动,:feature:onboarding,onboarding/complete,设置完成,fullScreen,,,content | validationError | submitting,OnboardingScaffold | CompletionSummary,显示步骤进度；可选步骤提供“稍后设置”；不得创建示例数据。,REQ-002 | REQ-081,android_ledger_screen_contract_v1.yaml#screens,VERIFIED,P11 completion summary and cold-ready handoff to REC-001 EXPENSE,P11-E002; P11-E003; P11-E004; P11-E005,P11
REC-001,记账,:feature:record,record/{tab},记账,topLevel,tab:EXPENSE|INCOME|OTHER,,content | noCategories | searching | loading,RecordTopTabs | QuickTemplateStrip | CategoryGrid | OtherTransactionGrid | LedgerSaveFab,冷启动默认 EXPENSE；支出和收入分类树完全独立。,REQ-016 | REQ-018 | REQ-019 | REQ-028 | REQ-070 | REQ-071,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P13
REC-002,记账,:feature:record,record/category-search/{direction},搜索分类,fullScreen,direction:EXPENSE|INCOME,CategoryId?,typing | results | empty,SearchField | CategorySearchResults,,,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P13
REC-003,记账,:feature:record,record/editor/{mode}/{transactionId?},交易编辑器,fullScreen,mode:CREATE|EDIT|DUPLICATE|TEMPLATE|CANDIDATE | transactionId:StableId?,,loading | editing | validating | saving | saveError | revisionConflict,TransactionEditorScaffold | CategorySelector | MoneyExpressionField | AccountCardSelector | MerchantSelector | DateTimeZoneField | ProjectSelector | SettlementSection | LocationField | NoteField | AttachmentField | AdvancedSemanticsSection | LedgerSaveFab,所有字段在同一纵向页面；互请默认折叠；未保存表单只驻留 ViewModel 内存。,REQ-014 | REQ-015 | REQ-023 | REQ-024 | REQ-025 | REQ-026 | REQ-027 | REQ-028 | REQ-029 | REQ-030 | REQ-037 | REQ-052 | REQ-054 | REQ-058 | REQ-086 | REQ-088,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P13
REC-004,记账,:feature:record,record/category-picker/{direction}/{selectedId?},选择分类,fullScreen,direction:EXPENSE|INCOME | selectedId:StableId?,CategoryId,content | empty | searching,CategoryGrid | CategorySearchAction,交易重新选择分类必须复用完整分类网格。,REQ-019 | REQ-020,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P13
REC-005,记账,:feature:record,record/account-picker/{allowedTypes},选择账户,fullScreen,allowedTypes:enumMask,AccountId,content | empty,SearchField | AccountOptionRow,,,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P13
REC-006,记账,:feature:record,record/card-picker/{accountId},选择实体卡,sheet,accountId:StableId,CardId?,content | empty,CardOptionRow | NoneOption,,REQ-012,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P13
REC-007,记账,:feature:record,record/merchant-picker,选择商户,fullScreen,,MerchantId?,recent | results | empty | create,SearchField | MerchantSuggestionRow | CreateInlineAction,,REQ-053,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P13
REC-008,记账,:feature:record,record/project-picker,选择项目,fullScreen,,ProjectId?,active | archivedWarning | empty,SearchField | ProjectOptionRow | NoneOption,,,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P13
REC-009,记账,:feature:record,record/location-editor/{locationId?},位置,fullScreen,locationId:StableId?,LocationSnapshot?,locating | located | permissionDenied | timeout | manual | mapUnavailable,MapLibreMap | MapPin | LocationAccuracyPanel | PlaceSelector,手动移动地图点后返回最终坐标；不在线搜索或反向地理编码。,REQ-054 | REQ-055,android_ledger_screen_contract_v1.yaml#screens,IN_PROGRESS,P10 state-driven location editor UI plus injected LedgerMap boundary; P13 owns complete record form/application wiring,P10-E004; P10-E005,P10/P13
REC-010,记账,:feature:record,record/attachments,附件,fullScreen,,AttachmentSelection,content | empty | importing | failed,AttachmentList | AddAttachmentAction | AttachmentProgressRow,允许任意数量和格式；大文件显示流式进度与取消。,REQ-057,android_ledger_screen_contract_v1.yaml#screens,IN_PROGRESS,P10 arbitrary attachment list import progress cancellation and failure state UI; P13 owns complete record form/application wiring,P10-E003; P10-E005,P10/P13
REC-011,记账,:feature:record,record/settlement-allocation/{activityId},互请分配,fullScreen,activityId:StableId,SettlementAllocation,editing | imbalanced | valid | currencyMismatch,PayerSelector | SplitModeTabs | ParticipantShareTable | FeeDistribution | RoundingRule | SettlementSummary,显示“本人承担”和“他人承担”，不显示借贷术语。,REQ-026 | REQ-043,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P13/P22
REC-012,记账,:feature:record,record/other,其他交易,embedded,,,content,OtherTransactionGrid,,REQ-017,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P13
