requirement_id,source_section,summary,screens_flows,core_components,acceptance_criteria,status,implementation_evidence,verification_evidence,primary_acceptance_phase,follow_up_review_phases,notes
REQ-001,需求/产品边界,仅 Android 手机；支持桌面小组件,G-001;WGT-001..003,LedgerScaffold;WidgetConfigScaffold,320dp 宽手机、标准手机和大字体下可完成全部流程；小组件配置可完成。,IN_PROGRESS,P11 single-Activity phone shell and 320/360/480dp plus 100/130/200% font matrix,P11-E004; P11-E005,P33,P34 | P36,P11 verifies the phone shell; Glance widget completion remains P33.
REQ-002,需求/产品边界,单用户、单总账、本地优先，无在线产品账户,G-001;ONB-001..010,SessionGate;OfflineState,断网时除地图、汇率、Drive、遥测外全部核心页面可用；UI 无登录/注册入口。,IN_PROGRESS,P07 single encrypted primary/staging authority plus P09 device-local key hierarchy and P11 offline encrypted empty-book onboarding without login,P07-E001; P07-E003; P09-E001; P09-E003; P11-E003; P11-E004,P11,P34 | P36,P11 verifies the offline root and onboarding; later feature offline acceptance remains owning-stage work.
REQ-003,需求/产品边界,不提供实时同步，只提供备份、恢复、合并,BKP-001..007;RST-001..007,BackupStatus;RestoreModeCard,任何页面不得使用“同步”描述 Drive 备份；合并恢复有独立冲突界面。,IN_PROGRESS,P30 encrypted local/SAF/Drive backup repository portable container and all BKP states use backup-only terminology,P30-E001; P30-E002; P30-E004; P30-E005; P30-E006,P31,P34 | P36,P30 completes the backup branch; replace and merge restore plus their conflict UI remain P31 so the combined boundary stays IN_PROGRESS.
REQ-004,需求/产品边界,不读取通知、短信、银行或支付平台自动记账,SETG-001;AUT-001,PrivacySummary,设置中不存在相关权限或入口；自动化只基于模板和周期规则。,VERIFIED,P23 blueprint-only deterministic recurrence engine and WorkManager catch-up with no notification SMS bank or payment-platform reader/permission,P23-E001; P23-E002; P23-E004; P23-E006,P23,P34 | P36,P23 completes automation input/runtime privacy; final cross-feature privacy replay remains P34/P36.
REQ-005,需求/产品边界,不使用 AI/OCR,ANA-013;IMP-001..009,DeterministicMethodDisclosure,异常/预测显示确定性算法说明；附件导入没有 OCR 操作。,VERIFIED,P25 closed report compiler plus P26 local deterministic anomaly/forecast engines and P28 deterministic CSV/FastExcel import with no AI OCR formula evaluator or script surface,P25-E001; P25-E002; P26-E001; P26-E002; P26-E004; P28-E001; P28-E002; P28-E006,P25,P34 | P36,Analytics and import surfaces are deterministic and expose no OCR action or SDK.
REQ-006,需求/账务模型,界面隐藏借方、贷方、会计科目,JRN-007;ANA-015,AccountImpactSection;IntegrityStatus,普通 UI 只显示账户增加/减少、费用/收入/预算影响；技术明细折叠且不作为主流程。,VERIFIED,P05 typed foundation P06 hidden planner P08 normalized persistence and P25 collapsed desensitized integrity presentation,P05-E001; P06-E001; P08-E003; P25-E003; P25-E004,P06,P34 | P36,P25 ANA-015 completes the ordinary-user disclosure boundary while preserving technical integrity evidence.
REQ-007,需求/账务模型,四层统计语义分别表达,JRN-007;ANA-003;BUD-001,BudgetSemanticsSection;MetricCard,详情能分别显示账户现金流、净金融资产、消费性质、预算影响。,VERIFIED,P06 separate typed facts P08 rebuildable projections P17 budget composition and P25 closed analytics measures/presentation,P06-E001; P08-E003; P17-E003; P25-E002; P25-E003; P25-E004,P08,P34 | P36,P25 fixed reports preserve cash flow net assets consumption and budget meanings without collapsing them.
REQ-008,需求/净资产指标,名称固定为核心净金融资产和调整后净金融头寸,ACC-001;ANA-003,NetFinancialAssetSummary,不得出现“总净资产”或暗示包含房产投资的文案。,VERIFIED,P12 encrypted account summary plus P25 typed report measures and localized analytics labels use the exact two names,P12-E003; P12-E004; P25-E002; P25-E004,P12,P34 | P36,Account and analytics surfaces both use the frozen names and do not imply property or investments.
REQ-009,需求/账户,任意多个现金、银行、信用、贷款账户,ACC-001..005;LOA-001..007,AccountTypeCard;AccountSummaryCard,账户创建器支持四类且无单现金账户限制。,IN_PROGRESS,P05 typed foundation plus P12 four-type encrypted account creation opening balance and detail,P05-E001; P05-E002; P05-E003; P12-E002; P12-E003; P12-E004,P12,P34 | P36,P12 account management is implemented; loan-specific flows and final acceptance remain later.
REQ-010,需求/账户,最后一个账户允许归档但必须警告,ACC-012,LastAccountWarning,归档前明确说明记账将无可用账户；仍允许继续。,IN_PROGRESS,P05 typed foundation plus P12 lifecycle policy and last-account warning that still permits archive,P05-E001; P05-E002; P05-E003; P12-E002; P12-E003; P12-E004,P12,P34 | P36,P12 behavior passes; final cross-feature acceptance remains later.
REQ-011,需求/账户,有历史账户只能归档，空账户可永久删除,ACC-012,UsageSummary;ArchiveDeleteOptions,使用过的账户不显示直接删除操作。,IN_PROGRESS,P05 typed foundation plus P12 Posting/card guarded delete and archive-only UI,P05-E001; P05-E002; P05-E003; P12-E002; P12-E003; P12-E004,P12,P34 | P36,P12 behavior passes; final history and release acceptance remain later.
REQ-012,需求/实体卡,账户与实体卡分离，一账户多卡或无卡,ACC-009..011;REC-006,CardOptionRow,账户详情可为空卡列表；交易卡片字段可为空。,IN_PROGRESS,P05 typed foundation plus P12 separate compatible card lifecycle and replacement history,P05-E001; P05-E002; P05-E003; P12-E002; P12-E003; P12-E004,P12,P34 | P36,P12 management passes; record selection and final acceptance remain later.
