需求ID,来源章节,需求摘要,覆盖页面/流程,核心组件,验收条件
REQ-001,需求/产品边界,仅 Android 手机；支持桌面小组件,G-001;WGT-001..003,LedgerScaffold;WidgetConfigScaffold,320dp 宽手机、标准手机和大字体下可完成全部流程；小组件配置可完成。
REQ-002,需求/产品边界,单用户、单总账、本地优先，无在线产品账户,G-001;ONB-001..010,SessionGate;OfflineState,断网时除地图、汇率、Drive、遥测外全部核心页面可用；UI 无登录/注册入口。
REQ-003,需求/产品边界,不提供实时同步，只提供备份、恢复、合并,BKP-001..007;RST-001..007,BackupStatus;RestoreModeCard,任何页面不得使用“同步”描述 Drive 备份；合并恢复有独立冲突界面。
REQ-004,需求/产品边界,不读取通知、短信、银行或支付平台自动记账,SETG-001;AUT-001,PrivacySummary,设置中不存在相关权限或入口；自动化只基于模板和周期规则。
REQ-005,需求/产品边界,不使用 AI/OCR,ANA-013;IMP-001..009,DeterministicMethodDisclosure,异常/预测显示确定性算法说明；附件导入没有 OCR 操作。
REQ-006,需求/账务模型,界面隐藏借方、贷方、会计科目,JRN-007;ANA-015,AccountImpactSection;IntegrityStatus,普通 UI 只显示账户增加/减少、费用/收入/预算影响；技术明细折叠且不作为主流程。
REQ-007,需求/账务模型,四层统计语义分别表达,JRN-007;ANA-003;BUD-001,BudgetSemanticsSection;MetricCard,详情能分别显示账户现金流、净金融资产、消费性质、预算影响。
REQ-008,需求/净资产指标,名称固定为核心净金融资产和调整后净金融头寸,ACC-001;ANA-003,NetFinancialAssetSummary,不得出现“总净资产”或暗示包含房产投资的文案。
REQ-009,需求/账户,任意多个现金、银行、信用、贷款账户,ACC-001..005;LOA-001..007,AccountTypeCard;AccountSummaryCard,账户创建器支持四类且无单现金账户限制。
REQ-010,需求/账户,最后一个账户允许归档但必须警告,ACC-012,LastAccountWarning,归档前明确说明记账将无可用账户；仍允许继续。
REQ-011,需求/账户,有历史账户只能归档，空账户可永久删除,ACC-012,UsageSummary;ArchiveDeleteOptions,使用过的账户不显示直接删除操作。
REQ-012,需求/实体卡,账户与实体卡分离，一账户多卡或无卡,ACC-009..011;REC-006,CardOptionRow,账户详情可为空卡列表；交易卡片字段可为空。
REQ-013,需求/多币种,账户币种固定，首笔 Posting 后不可修改,ACC-003,CurrencyField,已使用账户币种字段只读并解释原因。
REQ-014,需求/多币种,保存原币、账户币、本位币和汇率证据,REC-003;REC-013;REC-021;JRN-007,FxEvidenceSection;AmountStack,详情清楚区分原始金额、入账金额、本位币估值和报价时间。
REQ-015,需求/多币种,离线缓存汇率；无缓存时手动输入,REC-003;REC-013;REC-021,FxStatusBanner;ManualRateField,离线状态显示报价时间；无汇率时阻止保存并提供手动路径。
REQ-016,需求/交易系统,顶部固定支出、收入、其他交易 Tab,REC-001,RecordTopTabs,三个 Tab 固定在内容顶部，冷启动落在支出。
REQ-017,需求/交易系统,其他交易包含转账、信用还款、退款、贷款、余额调整、外币兑换,REC-012..021,OtherTransactionGrid,六个入口全部存在；互请管理不在该网格中。
REQ-018,需求/分类,收入和支出是两棵独立树，无默认分类,REC-001;CAT-001,CategoryGrid;EmptyState,新账本显示空分类状态；收入/支出切换不混用数据。
REQ-019,需求/分类,最多两级，一级有子项仍可直接记账,REC-001;REC-004;CAT-001,CategoryGroupSection;CategoryTile,一级和二级均可点击选择；层级视觉清晰。
REQ-020,需求/分类,分类重新选择复用完整网格，不用下拉,REC-004,CategoryGrid,交易编辑器点击分类进入同一 CategoryGrid destination。
REQ-021,需求/分类,分类支持颜色、图标、排序、搜索与对比度检测,CAT-001..003;CAT-002,CategoryColorPicker;ContrastPreview,低对比色产生警告并给出可访问前景色。
REQ-022,需求/分类,删除分类支持重分配、归档、墓碑删除,CAT-004,CategoryDeleteFlow,三种策略均展示影响笔数；墓碑历史以灰色删除线显示。
REQ-023,需求/普通交易,普通交易字段完整且顺序固定,REC-003,TransactionEditorScaffold,字段顺序严格为分类、金额、账户卡、商户、时间、项目、互请、位置、备注、附件。
REQ-024,需求/金额输入,系统键盘；支持有限算术表达式和操作符工具栏,REC-003;REC-013..021,MoneyExpressionField;OperatorToolbar,全半角规范化；错误定位；无应用内数字键盘。
REQ-025,需求/金额输入,最终金额大于零并按币种最小单位舍入,REC-003,MoneyExpressionField,零/负数不可保存；显示舍入后结果和原始算式。
REQ-026,需求/录入交互,互请默认折叠，开启后展开,REC-003;REC-011,SettlementSection,未开启时不占用大块空间；开启后字段完整。
REQ-027,需求/录入交互,保存 FAB 固定右下，不随页面滚动,REC-003;REC-013..022,LedgerSaveFab,滚动、键盘显示、大字体下仍可触达且不遮住最后字段。
REQ-028,需求/录入交互,保存后返回当前分类网格,REC-003 -> REC-001,NavigationResult,保存成功回到原支出/收入 Tab 并保持滚动位置。
REQ-029,需求/交易限制,不支持拆分分类或多账户共同支付,REC-003;IMP-003,SingleCategorySelector;SinglePayerAccount,UI 不出现拆分入口；导入映射遇到拆分数据提示需拆成多笔。
REQ-030,需求/交易时间,保存发生时间、时区、本地日期和账单归属,REC-003;CRD-006;JRN-007,DateTimeZoneField;StatementAssignment,跨时区交易详情可查看原时区；信用账单时区单独说明。
REQ-031,需求/版本历史,任何编辑产生完整历史，旧版恢复产生新修订,JRN-008;JRN-009,RevisionTimeline;RestoreRevisionAction,恢复操作提示“将创建新版本”，历史版本数量增加而非覆盖。
REQ-032,需求/回收站,保留期可配，支持恢复和受控永久清除,JRN-011;JRN-012;SETG-008,TrashRetentionBanner;HighRiskConfirmation,永久删除前重新校验资格；依赖未处理时不可执行。
REQ-033,需求/余额检查点,检查点不影响余额，可查漏或生成调整,ACC-007;ACC-008,DifferenceCard;ResolutionActions,创建检查点后余额不变；调整是显式独立操作。
REQ-034,需求/退款,全额/部分/跨月/其他账户/独立退款,REC-015;REC-016,RefundEditor,原交易和独立两种模式；显示已退、可退、剩余。
REQ-035,需求/退款,跨月退款分别处理权责、现金流和预算恢复,REC-015;JRN-007,RefundBudgetPolicy;AccrualCashflowSummary,三个时间/月份维度分别可见，不用一个日期替代。
REQ-036,需求/信用卡,完整账单、额度、欠款、官方与预计信息；无最低还款额,CRD-001..005,CreditDebtHero;EstimatedOfficialComparison,页面无最低还款字段；官方与预计差异不自动调账。
REQ-037,需求/信用卡,允许前后期调整、封存后编辑警告,CRD-004;CRD-006;REC-003,ImpactWarning;SealedBadge,封存账单内交易编辑前显示影响说明并继续保留历史。
REQ-038,需求/信用卡,提前还款分配，禁止主动超额还款,REC-014;CRD-007,PaymentAllocationEditor,超额时阻止保存；支持未分配提前还款。
REQ-039,需求/自动还款,正式生成/候选两模式，不声称现实扣款成功,CRD-008;AUT-008,RealityPaymentDisclaimer;CandidateBadge,所有自动生成文案明确为“记账记录”。
REQ-040,需求/分期,购买即确认全部消费/负债，未来计划单独展示,REC-027;INS-003..004,InstallmentProgressHero;ScheduleTable,分期页区分已出账和未出账承诺负债。
REQ-041,需求/贷款,多还款方式、利率阶段、组合贷款、提前还款模拟,LOA-002..011,LoanWizard;RatePeriodTimeline;SimulationComparison,组合贷款可添加多个 tranche；模拟不影响真实账本，应用需二次确认。
REQ-042,需求/贷款,未来计划只进预测，不进当前流水余额,LOA-008;ANA-014;JRN-001,PlannedActualToggle;ForecastDisclosure,计划行有“计划”标识且不出现在流水。
REQ-043,需求/互请,只支持净额结算，任意参与人和多种分配方式,SET-001..008;REC-011,ParticipantShareTable;SplitModeTabs,平均、金额、百分比、权重、排除、税费及舍入均可编辑。
REQ-044,需求/互请,外部参与人之间付款不改变本地账户,SET-006,NoLocalImpactBanner,self 不参与时账户字段隐藏并明确“不影响本地账户”。
REQ-045,需求/互请,已结算后原交易修改触发补充结算,SET-004;SET-008,AdditionalSettlementBadge,历史结算不被修改，页面显示重新计算后的差额。
REQ-046,需求/项目,项目预算、报表、交易、现金流、互请和目标关联,PRJ-001..006,ProjectHero;ProjectTabs,项目详情具备概览、交易、现金流、互请信息。
REQ-047,需求/项目,一个项目最多一个目标，一个目标可多个项目,PRJ-002;GOL-003,GoalSelector;BoundProjects,项目编辑器单选目标；目标详情可列多个项目。
REQ-048,需求/预算,自然月、总/一级/二级预算、层级约束,BUD-001..003,HierarchicalBudgetEditor;ConstraintMeters,一级合计和二级合计超限时立即显示差额并阻止保存。
REQ-049,需求/预算,正负结转、调整、历史重算、模板和未来月份,BUD-001..008,BudgetCompositionRows;RecalculationBanner,基础预算、结转和调整分栏显示；历史修改提示后续月份重算。
